matchID,predictedTeam,winningTeam,is_correct,betting_score,betting_score_interval,home_name,away_name
7450773_2024/2025,802,802,True,78.06101515151514,75-80,Raków Częstochowa,Stal Mielec
7481489_2024/2025,286,286,True,48.83853030303029,45-50,FC Cartagena,Deportivo La Coruña
7481491_2024/2025,279,295,False,70.44978787878787,70-75,SD Eibar,Elche CF
7481495_2024/2025,309,309,True,61.49762121212121,60-65,Real Oviedo,Burgos CF
7481496_2024/2025,289,289,True,54.08565151515151,50-55,Sporting Gijón,Cádiz
7481497_2024/2025,282,299,False,73.55681818181819,70-75,Real Zaragoza,Granada CF
7509687_2024/2025,-1,-1,True,56.62828787878787,55-60,Bari 1908,Reggiana
7509688_2024/2025,520,-1,False,60.94928787878787,60-65,Carrarese,Juve Stabia
7509690_2024/2025,475,475,True,62.401954545454544,60-65,Cesena,Südtirol
7509691_2024/2025,-1,-1,True,57.85606060606061,55-60,Cosenza,Salernitana
7509692_2024/2025,507,507,True,58.916666666666664,55-60,Cremonese,Pisa
7509693_2024/2025,508,508,True,59.108939393939394,55-60,Palermo,Cittadella
7509695_2024/2025,469,469,True,72.66146969696969,70-75,Sassuolo,Mantova
7509696_2024/2025,513,513,True,70.12828787878787,70-75,Spezia,Modena
7574644_2024/2025,171,-1,False,63.644378787878786,60-65,Rio Ave FC,Casa Pia
7574645_2024/2025,82,82,True,92.03080303030302,90-95,Porto,GD Estoril Praia
7574646_2024/2025,114,114,True,89.36363636363636,85-90,Sporting CP,Estrela Amadora
7574648_2024/2025,183,176,False,62.571,60-65,Gil Vicente,Boavista FC
7574649_2024/2025,78,78,True,78.83283333333333,75-80,Farense,Benfica
7574650_2024/2025,-1,175,False,51.1060606060606,50-55,Vitória Guimarães,Moreirense FC
7574651_2024/2025,172,172,True,80.9090909090909,80-85,FC Arouca,Sporting Braga
7292664_2024,663,663,True,71.48298484848485,70-75,Elfsborg,Västerås SK
7292666_2024,659,657,False,63.72739393939394,60-65,Halmstad,Djurgården
7451009_2024/2025,122,122,True,64.4436212121212,60-65,Šibenik,Dinamo Zagreb
7451010_2024/2025,-1,1864,False,59.125166666666665,55-60,Osijek,Gorica
7451011_2024/2025,1215,1215,True,54.09024242424243,50-55,Istra 1961,Rijeka
7451013_2024/2025,1859,1861,False,58.30540909090909,55-60,Lokomotiva Zagreb,Slaven Koprivnica
7468438_2024/2025,479,479,True,70.58427272727272,70-75,Auxerre,Rennes
7468439_2024/2025,451,439,False,59.92374242424242,55-60,Toulouse,Reims
7468440_2024/2025,56,444,False,65.5175303030303,65-70,Monaco,Angers SCO
7468441_2024/2025,-1,493,False,67.93939393939394,65-70,Le Havre,Montpellier
7468442_2024/2025,443,443,True,74.2145,70-75,Nantes,Olympique Marseille
7468444_2024/2025,434,434,True,58.48960606060607,55-60,Saint-Étienne,Strasbourg
7468445_2024/2025,491,445,False,65.6055606060606,65-70,Brest,Nice
7468446_2024/2025,68,68,True,67.11363636363636,65-70,PSG,Lens
7364785_2024,983,983,True,62.89412121212121,60-65,Shakhter Karagandy,Aktobe
7502685_2024/2025,182,182,True,64.06060606060606,60-65,CS Marítimo,FC Penafiel
7502686_2024/2025,4841,-1,False,62.45454545454545,60-65,Portimonense,FC Vizela
7502687_2024/2025,1030,4880,False,52.81818181818182,50-55,União de Leiria,Leixões
7502690_2024/2025,1037,-1,False,59.20736363636363,55-60,Porto II,Torreense
7502692_2024/2025,1031,-1,False,62.92374242424243,60-65,Academico Viseu,Benfica II
7487091_2024/2025,894,-1,False,64.40228787878787,60-65,Grasshopper,Lugano
7487092_2024/2025,898,-1,False,63.85324242424242,60-65,Servette,Luzern
